alpha,beta,gamma,D,coherence,entropy
0.10926443229241431,0.10702238511174428,0.7957673413753455,0.6618293473309328,9.144853631412359e-05,0.01652260549174296
0.09212104336083203,0.10260144306275448,0.7502697420925034,0.7455150131160959,9.051177352331444e-05,0.016273302282119467
0.0946373431411438,0.11350039390996307,0.7071037412717125,0.922615080390192,9.452547969795275e-05,0.017528883763089167
0.06345011137895494,0.08411746070856703,0.44575953118716816,0.9268832307134641,0.00010986297420301643,0.024322594690386272
0.07607052548105957,0.09463349122021786,0.4840961945717599,0.8901167662467884,0.00010824179305121165,0.023998303843429016
0.06415002640946586,0.10740153086002284,0.5014421788174704,0.7330535842721393,0.00010447942764231232,0.021624256568452602
0.0783242623088145,0.08668977275867602,0.4587395139711917,0.8423138419881517,9.723745987551765e-05,0.018944283654066536
0.09841190292486643,0.08058007925782491,0.5437561007964468,0.702370826287387,0.00010899012533990582,0.024613063039924783
0.08198155066862686,0.11534795208179141,0.8359985310301019,0.7262212566777149,9.094877452913034e-05,0.01635029062779984
0.11570657586230729,0.10122608227912926,0.8269883284600845,0.7446030885443068,9.045546620043046e-05,0.015744291332872893
0.0784309830268864,0.09374223246978633,0.7402003398281516,0.7974221073814847,9.375696223746705e-05,0.01695818994113323
0.10489438340669968,0.08600238129322973,0.3347718060893179,0.8527990635966899,0.00011477285780716042,0.02767143721018318
0.07999268950420022,0.08739980130299001,0.7391288462024332,0.9714755125398384,9.19775038925334e-05,0.016351005026122117
0.05094880834262116,0.09342587290286739,0.33562789046982794,0.6857491021953168,0.00011145261242551854,0.025794439103071335
0.08299923835145553,0.10983937933841213,0.37363191850196775,0.6279432227853119,0.000110481118574181,0.02492437321749266
0.11450054296413037,0.08275524337967655,0.320517584006521,0.9467522706769652,0.00010895480347787828,0.02432781353969839
0.0729462871589825,0.1016109242322711,0.8050053751359563,0.6852052275842039,9.41954335861957e-05,0.017561047778595046
0.10541139270803723,0.1029262107367692,0.6308888949423875,0.832550749341778,9.59780173807939e-05,0.017508703223285474
0.1091458360384474,0.11700538926953817,0.4588099705226049,0.9311654072321045,0.00010075396527147648,0.020201327368236682
