run,alpha,beta,gamma,D,coherence,entropy
0,0.07744067519636624,0.10860757465489677,0.6616580256429864,0.8179532731987588,0.0015428069758849042,-52.83624018343128
1,0.07085110023512871,0.10881297973768632,0.3000686248904069,0.7209330290527359,0.0003097864288245052,-41.83380833335266
2,0.07179974510710019,0.08103704927311565,0.6297974867272256,0.7741289570473108,0.0013544734373038473,-46.543568887776004
3,0.07753989512872878,0.1083259129047242,0.47454284334776664,0.8043310420790653,0.00208455891303934,-57.80511190720255
4,0.09835149195068384,0.1018892899670289,0.8836106159789308,0.8859263974697458,0.003925708605771505,-44.147795479528334
5,0.06109965855448698,0.11482929224709505,0.42403149320365585,0.9674443631751686,0.0008773744644145022,-52.18904771059488
6,0.09464300757180008,0.09327919221204709,0.7927374738346992,0.6166786502900999,0.0009195913705101945,-51.85331353443942
7,0.053815414468697864,0.11119675168960458,0.5630455388645361,0.8893860711323764,0.0018633073795063103,-50.67531744644503
8,0.09367147013959082,0.11874162651283728,0.8215167241283521,0.8123422766222396,0.0014817097947443193,-40.1683698993599
9,0.050518707694285,0.10007498368594955,0.5974639758804876,0.6535318115837107,0.0004315559330385719,-44.352024869336354
10,0.0885660321633373,0.08083007797437607,0.6801889409557653,0.8995215530154448,0.0020643406045436166,-44.40407814957251
11,0.059013484443838464,0.08077900965950499,0.5779311158990068,0.8899735716768591,0.0010227518316575156,-49.6577024610136
12,0.05770814211898362,0.10960198786061619,0.4579890091110808,0.8134957573521191,0.00018763011803059156,-58.36398726508508
13,0.08888512052869102,0.0895016488013965,0.7945671195968211,0.9862996792171999,0.004292663463521337,-48.8583483094664
14,0.07569716718863452,0.11092660208317187,0.8222566114348877,0.6032187794119271,0.0014718464150006454,-59.06501201810225
15,0.09244088486342894,0.08715583699683994,0.33261792858385886,0.7446153784352891,0.0006709954208985365,-50.566052126592965
16,0.06116455395767695,0.10092653365602705,0.6304208739487087,0.6182407800531226,0.0010263247270937735,-44.415986775010005
17,0.06473325013435549,0.10122347022421177,0.4149124721684969,0.6271601432765165,0.0013624289025756465,-53.05428912421815
18,0.08251871208697958,0.10021813494939372,0.8271608825529313,0.6727360901486138,0.0036898856303009724,-54.79977195485078
19,0.05487668008747258,0.11044998866699425,0.44816278389979625,0.6552526749905278,0.0006148705481347486,-41.634375798451856
20,0.07940654005386372,0.11590854911637671,0.8349184376848249,0.9263349909230736,0.0005471388019824865,-53.805696334807465
21,0.05243624404045637,0.09156438639159267,0.732579808098738,0.6086464999663799,0.0006870050006572435,-40.987287304256256
22,0.06042302686794213,0.09926724247053463,0.5523228211886249,0.9436727994085377,0.0005317294584681785,-46.752406354729956
23,0.07586489419232947,0.11787850415259256,0.7592758556381443,0.7129583375868451,0.0010760503589855991,-53.66663149996664
24,0.09800086516679593,0.10798048199798305,0.8999203755743277,0.6880269199131407,0.002324778870520027,-54.66942931533627
25,0.0935062068313606,0.10329107714690239,0.46730336442064146,0.6743644928360717,0.0012863024329250205,-42.293039236340405
26,0.06539674763124854,0.10077565917221203,0.760978596922784,0.9156882944683439,0.0027513585875135,-43.6380327062485
27,0.0712860705259448,0.1125833496197821,0.7412383741198079,0.9472012799518943,0.0014707798500604996,-59.501490147316666
28,0.08645068711445596,0.10244958409310564,0.37498025520554457,0.7590369474800469,0.0016331166086606605,-50.1378447462109
29,0.09318799927850416,0.09139623860910508,0.3439538328502416,0.905294881732114,0.0010202266246993957,-50.79406310100042
30,0.08220717680341674,0.09522993958540465,0.6978287432014012,0.6654602904411013,0.003464320285843778,-46.77064504324245
31,0.06430269108302579,0.11832422266076,0.7621877593313269,0.9947480012369851,0.0008813800178573749,-42.70067225714317
32,0.092944463364652,0.0949084461990112,0.633077266799158,0.982262619596707,0.0028048518916654786,-56.16612201601446
33,0.0624255063718865,0.09799901684203181,0.5465644817979245,0.7041198763547599,0.0018901105357391889,-43.61819920349131
34,0.05192808404407048,0.111204018420987,0.35562225320048,0.8531570745937909,0.0001304628249463782,-58.71550953095631
35,0.07290274741120453,0.09233398427859646,0.43889222702133734,0.7109698207024504,0.001676881532530675,-42.15612315819328
36,0.08642535957978628,0.10406456849480852,0.8713084004436082,0.6572693790884122,0.003874735034898033,-47.08115532257813
37,0.09722483014286534,0.09856392697217631,0.4156770173742946,0.8327579507519968,0.0016665622981069785,-53.59501181831993
38,0.0692386559758372,0.11438831386362476,0.8665197814844521,0.8811299574442917,0.0025117860890777983,-51.988313293876374
39,0.07734445780726774,0.1119159608513042,0.7922411279390289,0.6488199467320804,0.0024557365516563617,-50.386251697809485
40,0.0703843514040143,0.0822146416044744,0.7731209264920517,0.7149220739157384,0.0017192880760258018,-45.99902432771968
41,0.06254618118724702,0.08184383282690447,0.706089744666335,0.6173877942579008,0.0005664175618581131,-52.04781627387745
42,0.06872700594236814,0.11802857225639665,0.7391963650868432,0.8394633936788146,0.0007641639483300885,-43.086939741019286
43,0.05575272831948895,0.10436266157117925,0.38003457851159295,0.6962358479861395,0.0005247022787541961,-57.15274589983651
44,0.09174210743328248,0.08419184417479479,0.7467842890077108,0.7442003345025143,0.0018084871923930961,-52.09039212849806
45,0.09945057567378002,0.10198178907378902,0.46886838117303775,0.6309158264316691,0.0014597326183762942,-49.38396662606105
46,0.08919161754028754,0.1053933482421092,0.4494258549094493,0.9032303458599271,0.0009589907292030048,-58.68841148186194
47,0.05567442359468248,0.11897932377745826,0.7372407801006637,0.7405871223570806,0.0018950324572216423,-55.88598520145042
48,0.050874513546557636,0.11566293068721034,0.47091670048435097,0.7195905509835832,0.001222402663479149,-46.43258316857385
49,0.06504822279279573,0.08988247327847258,0.8558010810355055,0.9566413753111056,0.0024879814121311337,-51.20996596359505
50,0.07473008227690107,0.08912332417797345,0.4532843542543268,0.7585319638891108,0.0009338293041450214,-59.8755188265297
51,0.08378657077517762,0.08178848728811784,0.5059822035255555,0.8576078908079323,0.0009449321284198081,-58.93101765197876
