run,alpha,beta,gamma,D,coherence,entropy
0,0.09065737723658797,0.09656579004194389,0.3281113789299598,0.7667244177406674,0.005280163768290622,-42.85016272579226
1,0.11226578913299869,0.0901045837858257,0.8001254673517,1.0424772669054971,0.0008867535329347513,-33.33265186410573
2,0.08296795218438816,0.09139562946861109,0.5297771367047273,0.5770289544636193,0.003974202208340356,-34.63007971532696
3,0.10256404093523046,0.08562719101028557,0.8495449683511813,1.0586250332979779,0.0007279013299220207,-41.03170701863609
4,0.08740728472259751,0.10002459210452938,0.7208029144034194,1.0926277098099828,0.001148946035283496,-45.43973558447831
5,0.050716001185217456,0.11253143193381704,0.641371118619843,0.6374990803930622,0.002830536743013295,-37.78177375033923
6,0.11605661905150146,0.1451342798346013,0.54663749443134,0.8218802046032908,0.0024907236767234098,-33.28713865644096
7,0.04357534461184512,0.09088178427022643,0.42510194649540645,1.1473850530948866,0.003183252675843785,-31.123878121478327
8,0.0458052367335342,0.11079749687507107,0.7568063147045849,0.8758212891506736,0.0015003314819949163,-33.390665600682354
9,0.11702703339242367,0.09835381242032422,0.5545445955625377,0.9913590016872735,0.0018485664702878274,-42.59116695469075
10,0.06075427409930227,0.1263444435649361,0.6435006183865801,1.012226207399995,0.0017320573807580845,-38.13238008841578
11,0.07819204807896395,0.10081674158543284,0.9025159986673823,0.6641783043782261,0.0011064640335025368,-31.74353407492548
12,0.030025542852932758,0.14642610563884167,0.8600095701888479,0.5449210112261305,0.0018444839412601584,-34.431104123888424
13,0.11718652315823501,0.1398850424459335,0.3177608440652406,0.8658028763012395,0.004522759665250748,-39.60990092307327
14,0.03828048987820305,0.14356529808009996,0.48111590322360903,1.022317811755662,0.0031486746123701474,-42.36428670673008
15,0.10140239719212676,0.14171438900786396,0.33290955657852517,0.6015503073596052,0.007024124228108004,-34.77186894995623
16,0.03737758050756562,0.12509951932625396,0.968282482911109,0.7672608386953808,0.0009236009876945126,-28.637219415533117
17,0.08493727896614868,0.1421650331659622,0.9486709510733402,1.077716717943813,0.0005956255586925767,-44.86508126708055
18,0.08490083785550961,0.13096500129777075,0.7519032353169026,0.8303693362556177,0.001446831214361443,-36.962540502348844
19,0.06464904547225533,0.12855570460179833,0.8079223321951645,1.1069201848619286,0.0009672878444610593,-41.359078147239536
20,0.09164195934416294,0.11538912107360788,0.5037957752546831,0.6072329734103188,0.0038413371857298328,-40.944243376097766
21,0.04342021634820617,0.08000579592486487,0.3453489274606205,0.8167895428957437,0.005527968703741213,-37.192569026358555
22,0.04519399574382979,0.10474027915473556,0.5395135831633235,0.5739332922515902,0.004237305377242399,-33.83417658097937
23,0.03744450084490996,0.10333472072534404,0.5130444786658606,0.9726136487750072,0.002941919281727355,-43.878289686080926
24,0.06467080755871513,0.13948769072700984,0.7414038832853378,0.5950498084782014,0.0022089422159539823,-34.67179383271587
25,0.09509986810175937,0.10943914207759985,0.5241361097396001,0.5530660229469994,0.004066454058105569,-35.8468047734254
26,0.08835157829021445,0.11559034404539613,0.8903403629626805,0.6738652948763398,0.0010925786849079239,-41.43262758620604
27,0.0977205462615118,0.08648181418265842,0.8703421819748156,1.026492835787408,0.0007279540171007166,-29.9496128484082
28,0.1183120285636851,0.13163429644083396,0.6143871470570254,1.0708753169199499,0.0015996230580908723,-38.310931210905736
29,0.04601475244010547,0.1055886535679482,0.9680538882541319,1.1456834353572578,0.0006019216654600777,-52.39675710962258
30,0.07660734646863677,0.11408764777777486,0.7749170450321077,0.756790995546338,0.0015129197111232134,-35.79291754487607
31,0.07013222691848262,0.13140840402181436,0.47226127786678507,1.1663339724131538,0.0024501455855725977,-39.22101601935245
32,0.060680670295157446,0.14103252365856242,0.5094846635757128,0.8737270666840427,0.003063604535562042,-41.00981193202071
33,0.09067460228215346,0.1265913109373897,0.6835047685870304,0.581508284499835,0.002408490392100536,-51.12873276309727
34,0.10646456373907098,0.10425846283074712,0.8648136436875142,0.6419148366978895,0.0012114455155620256,-36.68593429137928
35,0.10863664232445004,0.11731899468413458,0.40168475565631495,1.1024458832355228,0.0029519846119501164,-38.13214903302424
36,0.10811791397932109,0.11071580470313166,0.4661411627798528,0.9120950274395521,0.002841667379382486,-42.98756640515052
37,0.08744576934750736,0.13513223960530651,0.5524662749223566,0.9232973801234139,0.0022562294536564997,-39.047840404416675
38,0.09903030992610948,0.12389539442260722,0.9115823097774742,0.889189929666225,0.0007897905145666175,-37.54985172576302
39,0.11035520679828467,0.13426940682585142,0.8895797825123017,1.1290853050285314,0.0006118551238629653,-51.2440553814897
40,0.10748356887583557,0.12705449630038518,0.5041425227275783,1.1786575414177065,0.0020611730996641904,-28.18959696530407
41,0.04989633364362435,0.1397599223276037,0.9866867126527323,0.5628047844932418,0.0010981995644504773,-45.1302077609023
42,0.11067040205233773,0.14403222906027813,0.8551058704511285,0.7379446624586423,0.001084814383700253,-38.42982611350724
43,0.07841997693968801,0.08827069674347879,0.9749582809299324,0.9510803329140458,0.0006225308803827079,-38.32544422205652
44,0.05367570616978935,0.10657906376843068,0.4514421563560398,0.823138374829782,0.003920759937971188,-38.42556219237073
45,0.09807791350864194,0.08771341586243225,0.925662368205201,0.9651127418291671,0.000685814500441885,-38.846547437109365
46,0.0805968558344046,0.12282952988612,0.38668316900199234,0.7131247018439224,0.005143271397995144,-36.9268801548731
47,0.03594434546822049,0.10995942616637909,0.8939005383269303,0.7512588793347944,0.0011971285812108373,-29.480897702045112
48,0.03194852728512945,0.12374765369096288,0.5994620569423352,1.0826431437882664,0.0020465577812031105,-39.58608896289759
49,0.08122317513585675,0.11469091447388091,0.6177460264973793,0.8588843030695947,0.0019998736042896614,-48.91809805260256
50,0.0658043987014399,0.08629675314792348,0.4663225118550658,0.5427254725930474,0.005509088531340925,-47.49217323043378
51,0.03297085558636491,0.10852956622395163,0.6004656262655254,0.7190196533892784,0.003143107618543701,-39.8086517325341
52,0.11082255758510895,0.10831823238364474,0.30713832567645416,0.6595623756955882,0.0060451966117857974,-42.079378090139265
53,0.07701617906724786,0.1351117355996035,0.5159322134868072,0.8565826807280557,0.003003785990745833,-43.46306940252187
54,0.08359211445777498,0.08443494450809988,0.4077510676741813,0.8133377578311709,0.0037408975882235176,-38.817159257515385
55,0.11730472466423324,0.0903480524413329,0.8482958777778205,0.8337084938010829,0.0008816168179034545,-35.99451233530807
56,0.08661948755111368,0.09894223744112873,0.9495163573590042,0.8780433120390096,0.0007029772233088122,-38.45476965508815
57,0.0680710736932161,0.13951068007369724,0.6137218499778101,1.135376692355491,0.0016606157398624919,-48.4006454539968
58,0.10157415057664114,0.12616463509727163,0.9435431808526471,0.9680149185200266,0.0006229721527608829,-31.58670576699708
59,0.10416453931887025,0.09979176038223897,0.540048880181148,1.0201109280619298,0.002026740210261474,-34.32134389726653
60,0.034964499463933096,0.10016912815235268,0.8482785025978705,0.5881543315806297,0.0017015484512908892,-49.309108569280006
61,0.10954667743566758,0.12535801633756646,0.7379346756273459,0.8637034991792766,0.0012617452848946978,-45.07783806665528
62,0.04461694553106961,0.10610424395730378,0.5354371605024337,0.5203109938805752,0.0048666019121892485,-38.1350631302509
63,0.032625379449216445,0.0939818629116654,0.7315354643546602,0.5713157018819027,0.002506934488931464,-42.0743494010826
64,0.07769139011191199,0.13489258733500997,0.30764650545517536,0.8528268570470985,0.005445072558020326,-45.69489735922253
65,0.036656221802560396,0.11768497592247552,0.8277618596456839,0.9630435169765166,0.001118427430614484,-51.185453038482464
66,0.03996852581198444,0.13187974451449036,0.9442721487003167,0.6187843309466998,0.0011681099016288183,-36.62191540767655
67,0.05878365483829984,0.12943514672984852,0.7271101654656325,1.1846282969283022,0.001117718683170719,-39.14506940689745
68,0.08407488704663343,0.11330319937634231,0.3426195261446621,1.1561116991545157,0.0036634205799455743,-43.71064461312838
69,0.10215022702888307,0.09353684756276714,0.8711649149275453,1.1309663942461015,0.0006482402154364988,-39.48925454166772
70,0.03146177385374671,0.11826263768782502,0.35636275196390665,0.7802513122535633,0.006141866745728288,-39.51151016505102
71,0.06181642156136832,0.14584773602609885,0.35336041327782797,1.0764965485627371,0.004212101782810566,-41.075689564641785
72,0.11804066379535029,0.0864382364290693,0.8583353761496149,0.7631043856049571,0.0009523988550915579,-33.141561090455376
73,0.059805356850386626,0.10483407508329243,0.8274910459172622,0.9704021069952964,0.001007716423692817,-40.617811837327636
74,0.059269380082609,0.12729947531731942,0.7098506810953654,0.8174928612600441,0.0018108816367070322,-46.47270739653361
75,0.08378460542944305,0.10978890714497992,0.6637364149037669,0.583619333446296,0.002536922378116414,-41.28634948371449
76,0.09709709651794327,0.11393623833888192,0.9187065067730296,1.1566739439222116,0.0005445016054323542,-52.33613187426727
77,0.09705556761939142,0.08204509493949434,0.4804069020144999,1.021109195715236,0.002469415158997452,-47.31580309296163
78,0.05604290079026292,0.10919620796078927,0.5464858064754259,0.7082404304542501,0.0034218476958640443,-22.652080678435055
79,0.08441540877602746,0.14021540212976083,0.6952146830681059,0.7488426986785564,0.0018949445723069993,-44.216571833041336
80,0.07090240626676629,0.08227936796043384,0.4409339546032957,0.9881043751247365,0.0032125259366417316,-36.846685689064216
81,0.07995585150684305,0.1420811965795058,0.6382591456154343,0.6571824498681731,0.002590231835607831,-42.34990959223096
82,0.11950342881824379,0.1333934248198112,0.8302507816346363,0.595055630775265,0.0013558479594359344,-33.04470126946614
83,0.10522010843282588,0.09971297058751434,0.9923429154490866,0.7197531553288763,0.0007385656777528673,-36.923887819529774
84,0.07207421717777399,0.1317449206204715,0.31722413520420684,0.5270972173620594,0.008777257225462829,-40.55060417875684
85,0.0901652353598395,0.1273942289758649,0.41249623250257467,1.1474634308432385,0.0029035404744426133,-30.799176363374336
86,0.04101202950510275,0.11284308016171199,0.6102038887494584,1.0564020940522454,0.0019605244929572787,-32.960359934081296
87,0.04128081429578873,0.09328968348817898,0.4107470992671382,0.7136751001988944,0.005353671844256615,-32.79092945567916
88,0.053690201012293076,0.11241239588486907,0.35650666761038613,1.1647183756440822,0.004033885120497567,-33.7480150914339
89,0.031168262203995614,0.09905564242372933,0.7423567221113727,0.5862639660304174,0.002391414211408577,-34.550929850337276
90,0.062236010779410336,0.08260191124342253,0.912788276083367,0.6375110151091288,0.0012178240529115594,-45.22114292730634
91,0.07387285409562151,0.10121597344903877,0.4097297763891566,0.503790620030511,0.0069155258473665585,-37.502008683670915
92,0.05928995899532703,0.09211479097813541,0.44504258877869096,0.6648010521269448,0.004432973818710824,-42.507321810665324
93,0.0708829866043397,0.08091777577192952,0.6774282300464538,0.9685341318342282,0.0014810061032586618,-40.364389111409615
94,0.07435655546286127,0.14436726583028825,0.7406791131652997,0.8480039700858992,0.0014800040905900073,-35.58155637317834
95,0.0916216486458202,0.09681227386182598,0.49424740610402595,0.8076042273458548,0.003094118662119254,-45.057545533523296
96,0.06936608536895927,0.13589212941381892,0.9337178923699094,0.8390318652498607,0.0008847091834746745,-32.244823837715685
97,0.04059196082592441,0.0810178416038181,0.9734951367670748,0.9995921695004929,0.0006904864840577371,-43.61050405202645
98,0.06864520215392636,0.1308764872566603,0.8645082325058004,1.1267495877147282,0.0007364447402746332,-36.423944517426094
99,0.10138926317700188,0.08960427019431666,0.8287312045424613,1.127846818448915,0.0007643987236131971,-35.83690053204485
100,0.11746309426298805,0.12215009379660066,0.8901899814967988,0.9367902978471094,0.0007099313153095967,-39.26315078995807
101,0.0721664488305502,0.1166980543333457,0.7945666589814007,1.1218392854805421,0.0009720956362109488,-37.75458302203864
102,0.06830656343969183,0.1048246141933168,0.7596261799807074,0.666012515662312,0.00187892516406232,-42.09575109013361
103,0.08412506721998336,0.12857829070731322,0.5482371780397626,0.714332503163835,0.003121879009000023,-42.77016498059895
104,0.06058240635691593,0.1222313729316801,0.34562220723908665,0.7700379394811516,0.0058104020587022645,-46.65053498493274
105,0.09929447349632657,0.12964930824780865,0.9501875037175358,0.5964664067322041,0.0010126135827377462,-40.89161210295167
106,0.06670419908655692,0.1334136307537154,0.5167988666604376,0.9176798980000498,0.0027870536874012196,-48.81052800942184
107,0.07953408115017,0.09621661729089409,0.4318449669278731,0.7825160804685456,0.003942798866935579,-42.62177829176538
108,0.11372400230522334,0.08039606351563243,0.8801168931444385,1.1138831248853474,0.0005976959640512927,-36.91032908502589
109,0.05089294628351809,0.09574688444801961,0.42088271294600726,1.1799523739128261,0.0029999426188940044,-37.507852764642294
110,0.10867618848421999,0.10378726309450224,0.9920100599842734,0.8637316613659412,0.0005952766734030483,-31.98759908700729
111,0.08437830072812375,0.14594031004394184,0.4559529667478851,1.1232129092919187,0.002700169043967155,-41.11546738385
112,0.08786820683773353,0.08544798042002753,0.6631768251550674,0.547895415898968,0.0027135942524131296,-41.09776237831049
113,0.10629770417990103,0.11100352826769697,0.4136844512133352,0.8428290203204397,0.00371719294563095,-35.1848616619765
114,0.10490859091496131,0.12281351447945724,0.4968504499387039,0.5747818056041496,0.004104447206343234,-31.501322856864217
115,0.08816518852561617,0.13771925128183465,0.935326257300725,0.9973891434018058,0.0006611086682706649,-45.51433601848083
116,0.0823331643151718,0.08555605919079988,0.6618781809135483,0.5832162090559714,0.0026375170615561844,-44.288110198147606
117,0.04720709439661424,0.11449843511574471,0.6917391242433731,1.0867259667124278,0.0014169049006592753,-37.7507852661071
118,0.08117214246016186,0.14820184732379144,0.6722655224368251,1.148840176480289,0.0012980075739065958,-36.306492843447906
119,0.057178083713391975,0.09370132322096492,0.4895361856130791,0.7935933282336713,0.003561906013807841,-41.397252225423856
120,0.044936529049470014,0.12792693853695514,0.41253816935026316,0.520833244101314,0.007326634839211214,-44.76593500935211
121,0.09661241359493025,0.09633492952511008,0.6574479186980715,1.0015069362714746,0.0014776414687697227,-28.36549145056665
122,0.07977440384436052,0.09256914588236159,0.9208232995458219,1.1772678533669572,0.0005851016387665884,-30.771712073613536
123,0.05302727533073848,0.0879979424521172,0.7786353923030056,0.5472620464463531,0.0021295836615411825,-30.813882023080463
124,0.05810151674430276,0.13704771037370916,0.4411824350157542,0.954262267813605,0.003591338389270625,-37.2473784153281
125,0.09176645776868365,0.08341510264944538,0.4895569595840539,0.887525534722937,0.0027493571647994913,-29.620936996718527
126,0.11764333488217033,0.09066935371307817,0.46110159966883874,1.050618451755042,0.0023095416528674585,-40.17185592111682
127,0.06809461614137587,0.13404165886541564,0.5808172302814995,0.7047538642503661,0.002919462956735045,-50.90916773657153
128,0.04991373859661363,0.10332850638762667,0.43298207790895116,1.0668885046906316,0.003266131426826871,-36.969448482466035
129,0.07919876053201716,0.09047183041222162,0.31864893481400913,0.5048045715590541,0.00841369600581997,-36.117492428918126
130,0.04418874542584819,0.10782109710522887,0.6120096178505108,0.8306455100736416,0.0023066643249591502,-37.630395279200975
131,0.061214094176311906,0.09632851186425644,0.8900873506212093,0.826439443012817,0.0009405695107211773,-37.23614180420957
132,0.09803036683958792,0.11782120473962404,0.4139421843166644,1.0363555887732265,0.0030160024813055512,-29.310724602267634
133,0.046114033194465345,0.14166866989919602,0.30105963154242166,1.1833239196484802,0.004519194304372709,-27.223416554131123
134,0.09750748128014487,0.09625759098790493,0.4700157663836896,0.5933989498205339,0.004291326016943062,-34.51584250509072
135,0.09659800939643762,0.08711051223258828,0.7159552175173645,0.7952552538167689,0.0015344964612906205,-38.8591798456122
136,0.033789160308621946,0.09452032138144242,0.36792789272372095,1.052089555482671,0.004381897514558683,-25.95497921688363
137,0.05564266251362343,0.13219062235626455,0.6558459065901275,1.0079513091606451,0.0016671978952621086,-33.036912778098426
138,0.07787562840217842,0.128304105215806,0.6150716369564351,0.5708400604952533,0.003095623225737601,-32.051859580592904
139,0.056048437258795616,0.13014593598446025,0.3591833391871683,0.9892127225254078,0.0044975676850022486,-33.49564091482292
140,0.06339430076281555,0.13226500383027995,0.5249263691497,0.6307946149118849,0.0038961657564572276,-44.80437969358448
141,0.10332287252970025,0.14288347425835818,0.886566780324795,1.152015939305771,0.0006192925802277735,-54.302015613771495
142,0.07386280120461652,0.1324219050655393,0.8840570129995506,0.843013761769121,0.0009267870007506295,-43.07637962105595
143,0.09127268342744105,0.09960380285362536,0.40185797002389056,1.0291469340176262,0.0033018805671422157,-31.173378414241142
144,0.11228792524408962,0.11643624111555434,0.5529939668445869,0.8649348036749632,0.0021620748508729528,-39.54651614852048
145,0.059636377263871956,0.10532021443749334,0.4424761691568187,0.8352752796008744,0.003954243090109066,-38.441122419388066
146,0.10565184150684724,0.10530052885125252,0.4093745868092534,0.6775222154439771,0.004592637778806391,-41.31793413348028
147,0.07740063126962063,0.10239800256691765,0.45842777100783527,1.113610257297856,0.0025502852417417033,-43.11718389248102
148,0.05793146902683852,0.09484528582230596,0.3197150129445896,0.7250059762367509,0.006878916148552671,-36.897690108010444
149,0.08686787323915865,0.11845112067316368,0.3651810181245712,1.030934268354578,0.0036678563441875974,-43.409444543283584
150,0.05486906786758894,0.11004125383262804,0.5837177536367618,0.6194562926212821,0.003376984594053876,-37.84300941290791
151,0.07565508389370082,0.13230016024661528,0.9886496937493967,1.193673354264651,0.0004749402492830247,-47.04535259246841
152,0.0687933744623912,0.12906445955172516,0.7135244382242103,0.8445238137316218,0.0016421556130896263,-36.213152839270066
153,0.10121996192773047,0.14161331111202816,0.4460753105690663,0.8813078142205225,0.003334861003382907,-30.2512257474923
154,0.08195754942347372,0.1366145835337504,0.44204580397885973,0.7059732755013451,0.004408250950754105,-40.556853826182476
155,0.06384724883099925,0.14884238521762116,0.7500289787663561,0.8848822371145559,0.001464482771360864,-35.76128899122351
156,0.05901181946483797,0.12915009366225066,0.9431839941237325,0.9440038210253425,0.0007613479234885528,-36.60286515658322
157,0.04898530087109118,0.10956345505282815,0.7591332564166167,1.1212836276886622,0.0011207493053200725,-38.36533102343514
158,0.09197787251590522,0.1379998624741828,0.8164378472852187,1.1229002528999161,0.000880185233204681,-30.39230109370932
